CustomerID,CustomerName,gender,birthDate,contactNumber,Region,email,organization,taxCode,debt,retailerId,modifiedDate,createdDate
KH00018,Ngo Van Long,False,01-01-1970,84423810512,Đa Nang,ngovanlong@example.com,Doanh nghiep Hoa Binh,VN1695,186.65,64,01-01-2024,27-05-2023
KH00019,Bui Thi Lan,True,01-01-1970,84348430699,Ho Chi Minh,buithilan@example.com,Tap đoan XYZ,VN6350,4546.66,7,09-05-2024,12-08-2023
KH00020,Tran Thi Bich Ngoc,False,01-01-1970,84821161047,Đa Nang,tranthibichngoc@example.com,Tap đoan XYZ,VN9870,3016.35,47,01-01-2024,22-12-2023
KH00021,Ly Thi Kim Chi,True,16-03-1993,84100369277,Ho Chi Minh,lythikimchi@example.com,Tap đoan XYZ,VN3939,6561.83,98,03-06-2024,11-05-2023
KH00022,Nguyen Van An,False,01-01-1970,84161264108,Ho Chi Minh,nguyenvanan@example.com,Tap đoan XYZ,VN8068,7987.83,81,19-09-2024,01-02-2023
KH00023,Nguyen Van An,False,06-06-1982,84638489483,Hai Phong,nguyenvanan@example.com,Tap đoan XYZ,VN1507,6552.6,58,01-12-2024,20-06-2023
KH00024,Ngo Van Long,True,01-01-1970,84100552891,Ha Noi,ngovanlong@example.com,Doanh nghiep Hoa Binh,VN6740,7522.44,74,01-01-2024,21-05-2023
KH00025,Tran Thi Bich Ngoc,False,31-03-2004,84279324456,Can Tho,tranthibichngoc@example.com,Cong ty TNHH ABC,VN1130,1014.13,26,01-01-2024,13-01-2023
KH00026,Nguyen Van An,False,01-01-1970,84990229071,Ha Noi,nguyenvanan@example.com,Cong ty TNHH ABC,VN5355,664.84,1,27-05-2024,28-05-2023
KH00027,Cao Minh Tam,True,01-01-1970,84815459082,Hai Phong,caominhtam@example.com,Cong ty TNHH ABC,VN8362,7250.14,77,10-06-2024,16-01-2023
KH00028,Đo Hoang Anh,True,15-09-1976,84176273409,Can Tho,đohoanganh@example.com,Doanh nghiep Hoa Binh,VN3448,1712.13,62,19-12-2024,12-01-2023
KH00029,Le Minh Hoang,False,24-09-1973,84723251124,Can Tho,leminhhoang@example.com,Doanh nghiep Hoa Binh,VN6006,5304.01,41,16-11-2024,23-11-2023
KH00030,Ly Thi Kim Chi,False,01-01-1970,84585289332,Ho Chi Minh,lythikimchi@example.com,Doanh nghiep Hoa Binh,VN7374,5735.75,73,01-01-2024,22-12-2023
KH00031,Cao Minh Tam,False,01-12-1988,84419936165,Ho Chi Minh,caominhtam@example.com,Tap đoan XYZ,VN8110,4006.12,62,03-10-2024,03-10-2023
KH00032,Hoang Van Tien,True,01-01-1970,84281544892,Ho Chi Minh,hoangvantien@example.com,Tap đoan XYZ,VN6970,9535.97,11,01-01-2024,10-07-2023
KH00033,Tran Thi Bich Ngoc,False,08-05-2001,84474967529,Ho Chi Minh,tranthibichngoc@example.com,Tap đoan XYZ,VN9147,6749.83,33,01-01-2024,01-11-2023
KH00034,Bui Thi Lan,False,01-01-1970,84351049461,Hai Phong,buithilan@example.com,Doanh nghiep Hoa Binh,VN5207,8251.63,5,01-01-2024,27-06-2023
KH00035,Đo Hoang Anh,False,01-01-1970,84725106116,Ho Chi Minh,đohoanganh@example.com,Cong ty TNHH ABC,VN2429,3366.24,90,01-01-2024,02-07-2023
KH00036,Cao Minh Tam,False,20-09-1971,84940205206,Can Tho,caominhtam@example.com,Tap đoan XYZ,VN2666,4943.69,6,01-01-2024,06-09-2023
KH00037,Tran Thi Bich Ngoc,True,23-08-1971,84468549066,Ha Noi,tranthibichngoc@example.com,Doanh nghiep Hoa Binh,VN7262,4848.49,53,01-01-2024,04-01-2023
KH00038,Đang Thi Hanh,True,01-01-1970,84502422832,Hai Phong,đangthihanh@example.com,Tap đoan XYZ,VN8448,5282.63,88,16-11-2024,18-08-2023
KH00039,Bui Thi Lan,False,01-01-1970,84595324384,Đa Nang,buithilan@example.com,Tap đoan XYZ,VN4108,1102.14,89,01-01-2024,28-10-2023
KH00040,Nguyen Van An,False,19-08-2000,84304025455,Đa Nang,nguyenvanan@example.com,Doanh nghiep Hoa Binh,VN4097,5046.77,26,22-03-2024,12-08-2023
KH00041,Bui Thi Lan,False,01-01-1970,84541739903,Đa Nang,buithilan@example.com,Cong ty Co phan Tech Viet,VN3304,1877.18,8,01-01-2024,10-01-2023
KH00042,Pham Thi Thanh Huong,True,23-05-1975,84360338838,Ha Noi,phamthithanhhuong@example.com,Cong ty TNHH ABC,VN7248,871.12,76,01-01-2024,31-05-2023
KH00043,Phan Thi Mai,False,30-11-1999,84510072594,Đa Nang,phanthimai@example.com,Cong ty TNHH ABC,VN6430,7817.11,88,18-03-2024,20-04-2023
KH00044,Đang Thi Hanh,True,03-01-1998,84952227701,Ha Noi,đangthihanh@example.com,Doanh nghiep Hoa Binh,VN6092,2877.15,30,01-01-2024,06-07-2023
KH00045,Phan Thi Mai,True,01-01-1970,84331050694,Can Tho,phanthimai@example.com,Tap đoan XYZ,VN8100,6074.76,45,01-01-2024,19-12-2023
KH00046,Cao Minh Tam,False,31-12-1973,84473698011,Đa Nang,caominhtam@example.com,Doanh nghiep Hoa Binh,VN1974,794.88,70,04-08-2024,12-04-2023
KH00047,Tran Thi Bich Ngoc,False,01-01-1970,84598781688,Ho Chi Minh,tranthibichngoc@example.com,Tap đoan XYZ,VN9722,6786.81,99,01-01-2024,01-11-2023
KH00048,Hoang Van Tien,False,19-01-1984,84441921288,Can Tho,hoangvantien@example.com,Doanh nghiep Hoa Binh,VN6253,4959.63,83,01-01-2024,04-09-2023
KH00049,Ly Thi Kim Chi,True,08-12-1976,84785673470,Ha Noi,lythikimchi@example.com,Cong ty Co phan Tech Viet,VN2840,6650.96,5,07-03-2024,08-01-2023
KH00050,Vu Minh Quan,False,01-01-1970,84975481045,Ho Chi Minh,vuminhquan@example.com,Cong ty Co phan Tech Viet,VN2070,2500.84,22,08-07-2024,10-03-2023
KH00051,Bui Thi Lan,False,28-01-1997,84836150753,Ha Noi,buithilan@example.com,Tap đoan XYZ,VN7705,4877.82,41,01-01-2024,02-10-2023
KH00052,Cao Minh Tam,False,01-01-1970,84343130450,Hai Phong,caominhtam@example.com,Cong ty TNHH ABC,VN3711,3868.59,49,05-06-2024,17-12-2023
KH00053,Phan Thi Mai,False,01-01-1970,84845105429,Can Tho,phanthimai@example.com,Cong ty TNHH ABC,VN2481,1364.83,85,01-01-2024,20-10-2023
KH00054,Hoang Van Tien,False,24-06-1999,84621459885,Hai Phong,hoangvantien@example.com,Tap đoan XYZ,VN4380,3583.1,98,01-01-2024,12-05-2023
KH00055,Vu Minh Quan,True,01-01-1970,84725581009,Hai Phong,vuminhquan@example.com,Doanh nghiep Hoa Binh,VN7850,5605.08,98,10-01-2024,24-11-2023
KH00056,Vu Minh Quan,False,21-03-1982,84515502287,Ha Noi,vuminhquan@example.com,Doanh nghiep Hoa Binh,VN7443,654.18,25,01-01-2024,15-12-2023
KH00057,Ly Thi Kim Chi,True,03-05-1995,84237752067,Can Tho,lythikimchi@example.com,Tap đoan XYZ,VN2994,1233.2,45,01-01-2024,09-11-2023
KH00058,Phan Thi Mai,True,25-02-2002,84613081644,Hai Phong,phanthimai@example.com,Doanh nghiep Hoa Binh,VN3374,397.6,100,18-12-2024,06-11-2023
KH00059,Huynh Thi Thu Ha,True,11-04-2002,84379961851,Đa Nang,huynhthithuha@example.com,Cong ty TNHH ABC,VN9753,9294.06,62,11-03-2024,08-09-2023
KH00060,Huynh Thi Thu Ha,True,10-03-1974,84366928451,Can Tho,huynhthithuha@example.com,Cong ty Co phan Tech Viet,VN4174,6760.85,2,06-05-2024,14-07-2023
KH00061,Nguyen Van An,False,01-01-1970,84979966754,Hai Phong,nguyenvanan@example.com,Cong ty Co phan Tech Viet,VN1954,5129.49,19,01-01-2024,05-06-2023
KH00062,Vu Minh Quan,False,01-01-1970,84416088664,Ho Chi Minh,vuminhquan@example.com,Tap đoan XYZ,VN6257,2264.74,17,01-01-2024,17-06-2023
KH00063,Cao Minh Tam,False,20-09-2004,84352607367,Đa Nang,caominhtam@example.com,Doanh nghiep Hoa Binh,VN8327,4035.89,98,01-01-2024,14-04-2023
KH00064,Bui Thi Lan,False,01-01-1970,84159835745,Ha Noi,buithilan@example.com,Tap đoan XYZ,VN9492,3654.13,80,01-01-2024,19-04-2023
KH00065,Tran Thi Bich Ngoc,True,20-02-1976,84639451149,Ha Noi,tranthibichngoc@example.com,Cong ty TNHH ABC,VN4979,5192.15,84,01-01-2024,29-10-2023
KH00066,Hoang Van Tien,False,14-11-1978,84996851690,Ho Chi Minh,hoangvantien@example.com,Doanh nghiep Hoa Binh,VN5557,365.43,19,01-01-2024,29-07-2023
KH00067,Hoang Van Tien,False,01-01-1970,84716646099,Can Tho,hoangvantien@example.com,Doanh nghiep Hoa Binh,VN5323,9659.6,82,21-07-2024,10-12-2023
KH00068,Phan Thi Mai,False,05-03-2001,84897990257,Đa Nang,phanthimai@example.com,Tap đoan XYZ,VN2159,7532.01,21,26-06-2024,30-09-2023
KH00069,Đang Thi Hanh,True,01-01-1970,84727372276,Đa Nang,đangthihanh@example.com,Cong ty TNHH ABC,VN1865,5132.31,98,01-01-2024,06-12-2023
KH00070,Vu Minh Quan,False,07-05-1974,84355380234,Đa Nang,vuminhquan@example.com,Cong ty Co phan Tech Viet,VN7297,3586.75,9,01-01-2024,30-06-2023
KH00071,Cao Minh Tam,False,14-06-1991,84413002938,Ha Noi,caominhtam@example.com,Cong ty Co phan Tech Viet,VN8902,9430.58,5,01-01-2024,28-11-2023
KH00072,Bui Thi Lan,False,03-12-1992,84221100803,Hai Phong,buithilan@example.com,Cong ty TNHH ABC,VN6360,7477.3,24,29-03-2024,17-04-2023
KH00073,Ngo Van Long,False,28-06-1994,84213750009,Ha Noi,ngovanlong@example.com,Doanh nghiep Hoa Binh,VN2850,5414.4,35,01-01-2024,31-01-2023
KH00074,Bui Thi Lan,False,01-01-1970,84372166845,Ho Chi Minh,buithilan@example.com,Doanh nghiep Hoa Binh,VN4561,6188.16,97,25-09-2024,15-07-2023
KH00075,Tran Thi Bich Ngoc,False,02-02-1978,84500024660,Can Tho,tranthibichngoc@example.com,Cong ty Co phan Tech Viet,VN8057,4169.31,45,27-07-2024,16-02-2023
KH00076,Bui Thi Lan,True,18-07-2000,84579898626,Ha Noi,buithilan@example.com,Cong ty TNHH ABC,VN1305,2744.38,41,01-01-2024,28-10-2023
KH00077,Cao Minh Tam,False,01-01-1970,84524860687,Can Tho,caominhtam@example.com,Tap đoan XYZ,VN6818,9866.77,92,01-01-2024,20-02-2023
KH00078,Đang Thi Hanh,False,01-01-1970,84241666349,Ho Chi Minh,đangthihanh@example.com,Cong ty TNHH ABC,VN7337,3152.5,37,29-01-2024,29-10-2023
KH00079,Vu Minh Quan,False,17-09-1992,84754375030,Hai Phong,vuminhquan@example.com,Tap đoan XYZ,VN1875,620.98,44,25-07-2024,14-03-2023
KH00080,Ngo Van Long,False,03-03-2002,84301695953,Hai Phong,ngovanlong@example.com,Cong ty TNHH ABC,VN7079,4410.3,9,19-03-2024,02-09-2023
KH00081,Hoang Van Tien,False,01-01-1970,84856642593,Can Tho,hoangvantien@example.com,Tap đoan XYZ,VN2342,3796.2,32,01-01-2024,21-05-2023
KH00082,Phan Thi Mai,False,02-09-1980,84424531790,Đa Nang,phanthimai@example.com,Doanh nghiep Hoa Binh,VN3986,866.44,96,01-01-2024,03-08-2023
KH00083,Le Minh Hoang,False,01-01-1970,84339609574,Can Tho,leminhhoang@example.com,Cong ty Co phan Tech Viet,VN9913,3435.99,81,01-01-2024,21-06-2023
KH00084,Ly Thi Kim Chi,False,19-01-1993,84247495252,Đa Nang,lythikimchi@example.com,Doanh nghiep Hoa Binh,VN6870,6123.95,62,01-01-2024,28-03-2023
KH00085,Vu Minh Quan,True,01-01-1970,84545147011,Ha Noi,vuminhquan@example.com,Doanh nghiep Hoa Binh,VN3528,2667.35,79,02-06-2024,04-07-2023
KH00086,Ngo Van Long,False,15-03-1996,84793694039,Đa Nang,ngovanlong@example.com,Cong ty TNHH ABC,VN3330,4226.41,55,01-01-2024,26-03-2023
KH00087,Vu Minh Quan,False,01-01-1970,84266659309,Đa Nang,vuminhquan@example.com,Doanh nghiep Hoa Binh,VN7616,7686.5,23,01-01-2024,03-10-2023
KH00088,Huynh Thi Thu Ha,True,05-10-1975,84137681305,Can Tho,huynhthithuha@example.com,Cong ty Co phan Tech Viet,VN7819,6935.13,95,15-08-2024,06-03-2023
KH00089,Nguyen Van An,False,01-01-1970,84423767529,Ha Noi,nguyenvanan@example.com,Cong ty TNHH ABC,VN5637,3874.77,17,18-12-2024,25-02-2023
KH00090,Hoang Van Tien,False,01-01-1970,84939318247,Hai Phong,hoangvantien@example.com,Cong ty TNHH ABC,VN4435,6168.71,36,01-01-2024,25-05-2023
KH00091,Phan Thi Mai,True,29-04-1977,84769711977,Hai Phong,phanthimai@example.com,Cong ty Co phan Tech Viet,VN3046,9408.5,9,17-02-2024,15-09-2023
KH00092,Đo Hoang Anh,True,01-01-1970,84813964619,Ho Chi Minh,đohoanganh@example.com,Tap đoan XYZ,VN6457,3708.99,98,01-01-2024,24-01-2023
KH00093,Ly Thi Kim Chi,True,01-01-1970,84617671954,Hai Phong,lythikimchi@example.com,Tap đoan XYZ,VN8119,8403.87,85,25-01-2024,28-04-2023
KH00094,Huynh Thi Thu Ha,False,01-01-1970,84642320446,Ha Noi,huynhthithuha@example.com,Doanh nghiep Hoa Binh,VN5366,2794.35,24,01-01-2024,23-08-2023
KH00095,Hoang Van Tien,True,08-02-1995,84261982123,Đa Nang,hoangvantien@example.com,Cong ty Co phan Tech Viet,VN2859,6093.02,82,01-01-2024,14-02-2023
KH00096,Đang Thi Hanh,True,09-11-1990,84466697754,Ho Chi Minh,đangthihanh@example.com,Doanh nghiep Hoa Binh,VN4465,230.82,77,01-01-2024,03-09-2023
KH00097,Đang Thi Hanh,True,25-05-1978,84537427625,Ha Noi,đangthihanh@example.com,Doanh nghiep Hoa Binh,VN2124,1801.63,32,04-10-2024,09-09-2023
KH00098,Cao Minh Tam,False,25-03-1977,84794167964,Can Tho,caominhtam@example.com,Cong ty Co phan Tech Viet,VN6915,6411.94,75,01-08-2024,18-07-2023
KH00099,Vu Minh Quan,False,23-05-1994,84767844274,Can Tho,vuminhquan@example.com,Doanh nghiep Hoa Binh,VN9755,5577.56,82,15-12-2024,21-08-2023
KH00100,Huynh Thi Thu Ha,True,01-01-1970,84896857528,Can Tho,huynhthithuha@example.com,Tap đoan XYZ,VN3452,3694.38,49,26-02-2024,05-12-2023
KH00101,Vu Minh Quan,True,09-01-2005,84199452055,Đa Nang,vuminhquan@example.com,Tap đoan XYZ,VN7864,9164.8,10,01-01-2024,25-08-2023
KH00102,Cao Minh Tam,False,17-06-1995,84893360774,Đa Nang,caominhtam@example.com,Cong ty TNHH ABC,VN9253,1656.54,44,01-01-2024,31-08-2023
KH00103,Pham Thi Thanh Huong,False,01-01-1970,84172452516,Ha Noi,phamthithanhhuong@example.com,Doanh nghiep Hoa Binh,VN8923,5387.74,34,08-12-2024,29-04-2023
KH00104,Ngo Van Long,False,23-08-1993,84553875958,Can Tho,ngovanlong@example.com,Cong ty TNHH ABC,VN3834,6005.66,38,17-05-2024,02-06-2023
KH00105,Phan Thi Mai,True,01-01-1970,84677991778,Ha Noi,phanthimai@example.com,Doanh nghiep Hoa Binh,VN3407,831.08,67,09-11-2024,04-11-2023
KH00106,Đang Thi Hanh,False,01-01-1970,84585568431,Hai Phong,đangthihanh@example.com,Tap đoan XYZ,VN7565,499.1,80,01-01-2024,03-04-2023
KH00107,Le Minh Hoang,True,01-01-1970,84457145131,Đa Nang,leminhhoang@example.com,Cong ty Co phan Tech Viet,VN2050,9634.76,47,30-09-2024,22-03-2023
KH00108,Ly Thi Kim Chi,True,10-06-1998,84775939914,Hai Phong,lythikimchi@example.com,Cong ty TNHH ABC,VN2064,9511.5,24,01-01-2024,14-02-2023
KH00109,Đo Hoang Anh,False,25-03-1977,84360278869,Can Tho,đohoanganh@example.com,Doanh nghiep Hoa Binh,VN5582,2640.3,61,09-07-2024,01-03-2023
KH00110,Tran Thi Bich Ngoc,True,21-02-1982,84672535872,Ha Noi,tranthibichngoc@example.com,Cong ty Co phan Tech Viet,VN1428,9627.65,30,01-01-2024,03-11-2023
KH00111,Cao Minh Tam,True,01-01-1970,84181326321,Ho Chi Minh,caominhtam@example.com,Tap đoan XYZ,VN5246,6004.34,55,13-12-2024,24-03-2023
KH00112,Huynh Thi Thu Ha,False,01-01-1970,84861768713,Ho Chi Minh,huynhthithuha@example.com,Cong ty Co phan Tech Viet,VN3342,203.59,66,01-01-2024,04-05-2023
KH00113,Ly Thi Kim Chi,False,13-12-1993,84186040838,Ha Noi,lythikimchi@example.com,Tap đoan XYZ,VN2623,2601.29,22,01-01-2024,06-09-2023
KH00114,Tran Thi Bich Ngoc,True,01-01-1970,84225737489,Ho Chi Minh,tranthibichngoc@example.com,Cong ty TNHH ABC,VN7288,5281.46,87,17-06-2024,04-10-2023
KH00115,Tran Thi Bich Ngoc,True,01-01-1970,84893609222,Đa Nang,tranthibichngoc@example.com,Tap đoan XYZ,VN2391,7591.84,68,02-11-2024,27-07-2023
KH00116,Le Minh Hoang,False,24-11-1970,84391091460,Hai Phong,leminhhoang@example.com,Cong ty TNHH ABC,VN8588,2728.7,6,01-01-2024,02-06-2023
KH00117,Hoang Van Tien,False,01-01-1970,84407050846,Ha Noi,hoangvantien@example.com,Cong ty TNHH ABC,VN4223,2329.65,45,01-01-2024,02-09-2023
KH00118,Phan Thi Mai,True,01-01-1970,84314662940,Hai Phong,phanthimai@example.com,Cong ty Co phan Tech Viet,VN8137,7135.18,81,01-01-2024,21-07-2023
KH00119,Ly Thi Kim Chi,False,04-08-1989,84788003013,Ha Noi,lythikimchi@example.com,Doanh nghiep Hoa Binh,VN7829,3320.37,40,01-01-2024,08-10-2023
KH00120,Cao Minh Tam,True,15-07-1986,84255243016,Ho Chi Minh,caominhtam@example.com,Doanh nghiep Hoa Binh,VN7427,6286.74,92,20-06-2024,22-07-2023
KH00121,Bui Thi Lan,False,18-06-1990,84133194007,Đa Nang,buithilan@example.com,Cong ty TNHH ABC,VN8751,2424.28,53,01-01-2024,29-01-2023
KH00122,Đang Thi Hanh,False,01-03-1982,84514165920,Ho Chi Minh,đangthihanh@example.com,Doanh nghiep Hoa Binh,VN9584,375.46,100,01-01-2024,12-06-2023
KH00123,Phan Thi Mai,True,01-01-1970,84861394911,Ha Noi,phanthimai@example.com,Tap đoan XYZ,VN7760,6786.7,43,18-11-2024,27-04-2023
KH00124,Cao Minh Tam,True,11-07-1976,84989392755,Hai Phong,caominhtam@example.com,Doanh nghiep Hoa Binh,VN2511,5883.19,36,01-01-2024,18-10-2023
KH00125,Pham Thi Thanh Huong,False,01-01-1970,84810427778,Ho Chi Minh,phamthithanhhuong@example.com,Tap đoan XYZ,VN7960,1698.18,66,20-06-2024,07-02-2023
KH00126,Bui Thi Lan,True,03-07-1994,84312798637,Ha Noi,buithilan@example.com,Doanh nghiep Hoa Binh,VN5164,4795.02,42,15-09-2024,18-03-2023
KH00127,Tran Thi Bich Ngoc,False,01-01-1970,84626226288,Ho Chi Minh,tranthibichngoc@example.com,Cong ty Co phan Tech Viet,VN2119,113.63,44,25-01-2024,24-06-2023
KH00128,Phan Thi Mai,False,07-01-1983,84517565909,Ha Noi,phanthimai@example.com,Tap đoan XYZ,VN2128,8163.21,11,01-01-2024,09-12-2023
KH00129,Bui Thi Lan,False,01-01-1970,84805247740,Hai Phong,buithilan@example.com,Doanh nghiep Hoa Binh,VN7194,1276.95,77,08-05-2024,02-07-2023
KH00130,Cao Minh Tam,False,01-01-1970,84829056530,Can Tho,caominhtam@example.com,Doanh nghiep Hoa Binh,VN5537,9329.7,42,01-03-2024,25-01-2023
KH00131,Cao Minh Tam,False,01-01-1970,84621673419,Ho Chi Minh,caominhtam@example.com,Cong ty TNHH ABC,VN5152,245.87,27,05-02-2024,17-09-2023
KH00132,Pham Thi Thanh Huong,False,27-11-1991,84703628447,Đa Nang,phamthithanhhuong@example.com,Tap đoan XYZ,VN9593,8886.94,55,16-02-2024,17-09-2023
KH00133,Bui Thi Lan,False,13-07-1996,84779753612,Ha Noi,buithilan@example.com,Tap đoan XYZ,VN9942,2568.28,34,01-01-2024,08-06-2023
KH00134,Huynh Thi Thu Ha,False,01-01-1970,84898190794,Can Tho,huynhthithuha@example.com,Cong ty Co phan Tech Viet,VN6140,3381.9,38,06-04-2024,04-02-2023
KH00135,Đang Thi Hanh,False,10-05-1971,84603261262,Hai Phong,đangthihanh@example.com,Doanh nghiep Hoa Binh,VN1834,8192.63,62,30-09-2024,20-04-2023
KH00136,Ngo Van Long,True,01-01-1970,84374470291,Ha Noi,ngovanlong@example.com,Cong ty TNHH ABC,VN4314,2493.34,33,01-01-2024,23-06-2023
KH00137,Ly Thi Kim Chi,True,01-01-1970,84742316567,Hai Phong,lythikimchi@example.com,Doanh nghiep Hoa Binh,VN4425,7040.88,57,18-04-2024,17-10-2023
KH00138,Vu Minh Quan,False,01-01-1970,84418571771,Ha Noi,vuminhquan@example.com,Cong ty TNHH ABC,VN2070,326.97,28,01-01-2024,11-09-2023
KH00139,Tran Thi Bich Ngoc,True,01-01-1970,84294415122,Ha Noi,tranthibichngoc@example.com,Tap đoan XYZ,VN1408,6735.58,66,01-01-2024,18-01-2023
KH00140,Huynh Thi Thu Ha,True,10-06-1972,84162820071,Can Tho,huynhthithuha@example.com,Tap đoan XYZ,VN5634,4919.12,90,25-04-2024,14-01-2023
KH00141,Đang Thi Hanh,False,01-01-1970,84403606676,Can Tho,đangthihanh@example.com,Cong ty Co phan Tech Viet,VN8481,3834.77,16,01-01-2024,14-07-2023
KH00142,Phan Thi Mai,True,01-01-1970,84594997257,Ha Noi,phanthimai@example.com,Doanh nghiep Hoa Binh,VN6766,626.67,72,03-05-2024,24-11-2023
KH00143,Le Minh Hoang,False,01-01-1970,84585255935,Hai Phong,leminhhoang@example.com,Doanh nghiep Hoa Binh,VN1456,6677.65,72,26-04-2024,27-05-2023
KH00144,Đang Thi Hanh,True,17-06-1971,84332947959,Hai Phong,đangthihanh@example.com,Cong ty TNHH ABC,VN5957,7589.05,26,01-01-2024,24-11-2023
KH00145,Huynh Thi Thu Ha,False,01-01-1970,84333000404,Đa Nang,huynhthithuha@example.com,Tap đoan XYZ,VN8549,3016.66,16,30-08-2024,22-02-2023
KH00146,Le Minh Hoang,False,01-01-1970,84557678855,Hai Phong,leminhhoang@example.com,Cong ty Co phan Tech Viet,VN2200,5033.87,85,20-04-2024,17-08-2023
KH00147,Pham Thi Thanh Huong,False,10-09-1982,84719922893,Đa Nang,phamthithanhhuong@example.com,Tap đoan XYZ,VN9135,6148.49,70,27-07-2024,12-02-2023
KH00148,Cao Minh Tam,False,01-01-1970,84253655111,Đa Nang,caominhtam@example.com,Cong ty TNHH ABC,VN1478,5261.14,87,12-01-2024,11-03-2023
KH00149,Ly Thi Kim Chi,False,01-01-1970,84962107930,Can Tho,lythikimchi@example.com,Cong ty Co phan Tech Viet,VN4734,161.38,47,01-01-2024,25-01-2023
KH00150,Ly Thi Kim Chi,True,06-01-1983,84164592398,Ha Noi,lythikimchi@example.com,Cong ty TNHH ABC,VN8080,9344.69,42,01-01-2024,08-06-2023
KH00151,Huynh Thi Thu Ha,False,01-01-1970,84125449298,Đa Nang,huynhthithuha@example.com,Doanh nghiep Hoa Binh,VN7985,511.25,77,01-01-2024,25-02-2023
KH00152,Le Minh Hoang,True,01-01-1970,84327191090,Ho Chi Minh,leminhhoang@example.com,Doanh nghiep Hoa Binh,VN1183,2530.38,11,01-01-2024,30-06-2023
KH00153,Pham Thi Thanh Huong,False,01-01-1970,84736717158,Ha Noi,phamthithanhhuong@example.com,Cong ty TNHH ABC,VN5583,7852.36,93,26-12-2023,30-12-2022
KH00154,Ly Thi Kim Chi,False,01-01-1970,84665757648,Hai Phong,lythikimchi@example.com,Doanh nghiep Hoa Binh,VN7309,1267.14,15,01-01-2024,15-03-2023
KH00155,Ly Thi Kim Chi,False,22-01-1972,84832882897,Can Tho,lythikimchi@example.com,Cong ty Co phan Tech Viet,VN9911,1260.58,56,01-01-2024,29-04-2023
KH00156,Pham Thi Thanh Huong,False,29-12-1988,84669108735,Can Tho,phamthithanhhuong@example.com,Cong ty TNHH ABC,VN1957,4550.99,25,01-01-2024,27-11-2023
