customerid,customername,region,orderid,OrderDate,totalamount
KH00651,Nguyen Van An,Ho Chi Minh,OD02260,2024-04-15,94
KH00612,Le Minh Hoang,Ha Noi,OD07846,2024-11-14,45
KH00589,Phan Thi Mai,Hai Phong,OD07091,2024-02-11,85
KH00282,Vu Minh Quan,Ha Noi,OD05816,2024-04-29,55
KH00114,Tran Thi Bich Ngoc,Ho Chi Minh,OD03786,2024-10-12,98
KH00185,Tran Thi Bich Ngoc,Ho Chi Minh,OD03656,2024-03-12,29
KH00939,Phan Thi Mai,Ho Chi Minh,OD03773,2024-04-18,52
KH00597,Phan Thi Mai,Can Tho,OD03984,2024-02-21,83
KH00707,Ngo Van Long,Ha Noi,OD05988,2024-11-03,26
KH00974,Nguyen Van An,Hai Phong,OD04030,2024-11-09,38
KH00269,Hoang Van Tien,Can Tho,OD06878,2024-05-09,80
KH00814,Huynh Thi Thu Ha,Ha Noi,OD03691,2024-06-02,77
KH00633,Pham Thi Thanh Huong,Can Tho,OD04312,2024-06-09,62
KH00560,Bui Thi Lan,Ða Nang,OD06972,2024-01-31,27
KH00706,Nguyen Van An,Hai Phong,OD01856,2024-06-30,81
KH00647,Nguyen Van An,Ha Noi,OD00080,2024-04-24,16
KH00777,Ly Thi Kim Chi,Hai Phong,OD00004,2024-11-30,78
KH00522,Ngo Van Long,Ho Chi Minh,OD02233,2024-06-07,1
KH00279,Le Minh Hoang,Hai Phong,OD07111,2024-08-10,84
KH00931,Nguyen Van An,Can Tho,OD02240,2024-06-05,61
KH00330,Bui Thi Lan,Ho Chi Minh,OD03078,2024-07-15,63
KH00147,Pham Thi Thanh Huong,Ða Nang,OD04339,2024-09-26,59
KH00309,Phan Thi Mai,Ða Nang,OD02921,2024-02-13,31
KH00739,Bui Thi Lan,Ha Noi,OD02560,2024-10-13,2
KH00149,Ly Thi Kim Chi,Can Tho,OD03900,2024-11-04,74
KH00003,Bui Thi Lan,Hai Phong,OD07551,2024-09-09,38
KH00210,Tran Thi Bich Ngoc,Ða Nang,OD01208,2024-09-16,52
KH00314,Ly Thi Kim Chi,Can Tho,OD03350,2024-05-24,20
KH00642,Tran Thi Bich Ngoc,Ða Nang,OD01730,2024-01-10,48
KH00038,Ðang Thi Hanh,Hai Phong,OD05548,2024-04-15,97
KH00892,Nguyen Van An,Can Tho,OD02387,2024-09-10,73
KH00736,Ðo Hoang Anh,Hai Phong,OD00069,2024-10-31,100
KH00962,Hoang Van Tien,Can Tho,OD07951,2024-08-03,77
KH00313,Pham Thi Thanh Huong,Ða Nang,OD02487,2024-06-05,8
KH00040,Nguyen Van An,Ða Nang,OD01544,2024-09-29,10
KH00834,Hoang Van Tien,Ða Nang,OD05015,2024-05-30,10
KH00799,Ly Thi Kim Chi,Can Tho,OD07411,2024-06-21,10
KH00986,Phan Thi Mai,Ho Chi Minh,OD05043,2024-05-18,13
KH00467,Ðang Thi Hanh,Ha Noi,OD06348,2024-12-21,99
KH00248,Le Minh Hoang,Can Tho,OD03714,2024-02-15,73
KH00878,Vu Minh Quan,Ða Nang,OD06350,2024-04-28,72
KH00546,Ly Thi Kim Chi,Ho Chi Minh,OD00782,2024-04-03,2
KH00157,Vu Minh Quan,Ða Nang,OD01246,2024-08-15,21
KH00423,Ðang Thi Hanh,Ho Chi Minh,OD04151,2024-10-13,42
KH00261,Nguyen Van An,Ho Chi Minh,OD00884,2023-12-23,41
KH00380,Tran Thi Bich Ngoc,Can Tho,OD00909,2024-07-18,61
KH00693,Vu Minh Quan,Ða Nang,OD03692,2024-08-08,13
KH00332,Ngo Van Long,Can Tho,OD04079,2024-03-07,20
KH00186,Cao Minh Tam,Ða Nang,OD04624,2024-05-28,9
KH00340,Vu Minh Quan,Hai Phong,OD07533,2024-12-21,100
KH00977,Nguyen Van An,Ho Chi Minh,OD00071,2024-01-12,11
KH00323,Ngo Van Long,Hai Phong,OD07700,2024-10-26,15
KH00014,Ly Thi Kim Chi,Can Tho,OD02181,2024-04-13,76
KH00936,Phan Thi Mai,Ða Nang,OD03959,2024-04-02,28
KH00455,Ly Thi Kim Chi,Ha Noi,OD06167,2024-08-04,11
KH00776,Ðo Hoang Anh,Ða Nang,OD02270,2024-02-20,100
KH00891,Le Minh Hoang,Ða Nang,OD06980,2024-12-15,25
KH00718,Pham Thi Thanh Huong,Hai Phong,OD01557,2024-04-06,4
KH00136,Ngo Van Long,Ha Noi,OD07630,2024-05-30,56
KH00415,Vu Minh Quan,Ða Nang,OD04027,2024-01-29,34
KH00549,Ðang Thi Hanh,Ða Nang,OD06473,2024-05-22,42
KH00713,Cao Minh Tam,Ha Noi,OD00447,2024-07-19,79
KH00264,Bui Thi Lan,Can Tho,OD01897,2024-03-02,50
KH00638,Ðo Hoang Anh,Hai Phong,OD04500,2024-03-13,27
KH00305,Ngo Van Long,Hai Phong,OD05181,2024-03-04,17
KH00496,Vu Minh Quan,Ha Noi,OD03363,2024-10-28,88
KH00944,Ðang Thi Hanh,Ða Nang,OD02700,2024-12-06,55
KH00686,Ðang Thi Hanh,Ho Chi Minh,OD07353,2024-04-21,16
KH00435,Bui Thi Lan,Hai Phong,OD02272,2024-11-04,29
KH00221,Phan Thi Mai,Ða Nang,OD06595,2024-04-14,96
KH00316,Nguyen Van An,Ða Nang,OD05539,2024-01-01,62
KH00848,Phan Thi Mai,Ða Nang,OD03593,2024-12-14,82
KH00807,Le Minh Hoang,Ha Noi,OD03112,2024-09-15,83
KH00836,Vu Minh Quan,Ða Nang,OD02162,2024-06-04,25
KH00862,Ðang Thi Hanh,Ho Chi Minh,OD00455,2024-08-05,93
KH00020,Tran Thi Bich Ngoc,Ða Nang,OD06943,2024-04-29,73
KH00770,Phan Thi Mai,Ða Nang,OD02733,2024-08-12,61
KH00993,Nguyen Van An,Ha Noi,OD00298,2024-11-22,70
KH00954,Le Minh Hoang,Ha Noi,OD06774,2024-11-03,9
KH00794,Ly Thi Kim Chi,Hai Phong,OD06170,2024-06-22,94
KH00894,Ðo Hoang Anh,Hai Phong,OD00901,2024-06-20,44
KH00601,Le Minh Hoang,Ða Nang,OD05767,2024-08-16,88
KH00511,Ðo Hoang Anh,Can Tho,OD04114,2024-01-15,34
KH00360,Ly Thi Kim Chi,Ða Nang,OD01948,2024-04-07,6
KH00588,Ðo Hoang Anh,Hai Phong,OD03144,2024-10-03,67
KH00209,Phan Thi Mai,Ha Noi,OD05097,2024-08-15,61
KH00301,Le Minh Hoang,Ða Nang,OD06603,2024-12-15,31
KH00600,Le Minh Hoang,Hai Phong,OD04795,2024-07-13,17
KH00234,Huynh Thi Thu Ha,Hai Phong,OD04531,2024-07-08,2
KH00351,Vu Minh Quan,Can Tho,OD00791,2024-08-23,84
KH00669,Ðo Hoang Anh,Can Tho,OD03089,2024-08-30,48
KH00673,Ngo Van Long,Hai Phong,OD03477,2024-01-02,53
KH00960,Ðang Thi Hanh,Hai Phong,OD02779,2024-04-18,10
KH00553,Ly Thi Kim Chi,Ho Chi Minh,OD00646,2024-09-14,71
KH00484,Bui Thi Lan,Can Tho,OD05064,2024-08-22,2
KH00890,Le Minh Hoang,Ha Noi,OD02116,2024-05-08,85
KH00494,Huynh Thi Thu Ha,Ða Nang,OD05807,2024-04-18,29
KH00664,Bui Thi Lan,Ha Noi,OD04212,2024-05-01,75
KH00338,Huynh Thi Thu Ha,Ho Chi Minh,OD06139,2024-04-20,51
KH00431,Nguyen Van An,Hai Phong,OD07175,2024-05-11,81
KH00029,Le Minh Hoang,Can Tho,OD05004,2024-02-28,49
KH00133,Bui Thi Lan,Ha Noi,OD03801,2024-01-14,66
KH00374,Bui Thi Lan,Ha Noi,OD02947,2024-06-09,68
KH00106,Ðang Thi Hanh,Hai Phong,OD04793,2024-04-19,97
KH00469,Ngo Van Long,Can Tho,OD00819,2024-10-04,97
KH00451,Ngo Van Long,Ho Chi Minh,OD07624,2024-07-25,17
KH00113,Ly Thi Kim Chi,Ha Noi,OD06465,2024-10-05,77
KH00361,Ðang Thi Hanh,Can Tho,OD01460,2024-06-17,39
KH00440,Bui Thi Lan,Ho Chi Minh,OD07724,2024-01-06,12
KH00482,Ngo Van Long,Ha Noi,OD04003,2024-04-07,41
KH00694,Ly Thi Kim Chi,Can Tho,OD02843,2024-05-26,10
KH00565,Cao Minh Tam,Ho Chi Minh,OD03271,2024-01-24,63
KH00684,Pham Thi Thanh Huong,Ða Nang,OD04594,2024-12-11,66
KH00786,Cao Minh Tam,Ða Nang,OD02725,2024-01-03,13
KH00153,Pham Thi Thanh Huong,Ha Noi,OD03852,2023-12-25,87
KH00745,Pham Thi Thanh Huong,Can Tho,OD00111,2024-04-02,7
KH00817,Ðo Hoang Anh,Hai Phong,OD07098,2024-05-28,84
KH00969,Bui Thi Lan,Ða Nang,OD00666,2024-06-05,63
KH00680,Ðo Hoang Anh,Ða Nang,OD02135,2024-10-17,70
KH00495,Hoang Van Tien,Hai Phong,OD04710,2024-01-09,86
KH00724,Hoang Van Tien,Ha Noi,OD07626,2024-05-07,80
KH00513,Ðo Hoang Anh,Hai Phong,OD03607,2024-05-19,12
KH00382,Huynh Thi Thu Ha,Ða Nang,OD00175,2024-11-04,74
KH00177,Huynh Thi Thu Ha,Ha Noi,OD05151,2024-02-07,84
KH00346,Bui Thi Lan,Ho Chi Minh,OD06982,2024-03-01,68
KH00806,Ðo Hoang Anh,Ða Nang,OD02861,2024-08-17,26
KH00767,Phan Thi Mai,Ða Nang,OD02012,2024-06-30,50
KH00586,Huynh Thi Thu Ha,Ho Chi Minh,OD04699,2023-12-25,53
KH00093,Ly Thi Kim Chi,Hai Phong,OD00192,2024-04-07,50
KH00792,Cao Minh Tam,Ha Noi,OD04704,2024-01-25,98
KH00760,Phan Thi Mai,Hai Phong,OD00987,2024-09-30,30
KH00649,Huynh Thi Thu Ha,Ho Chi Minh,OD07608,2024-06-17,77
KH00930,Vu Minh Quan,Hai Phong,OD06454,2024-03-04,61
KH00119,Ly Thi Kim Chi,Ha Noi,OD06850,2024-09-01,15
KH00789,Nguyen Van An,Hai Phong,OD02304,2024-10-02,63
KH00674,Ðo Hoang Anh,Can Tho,OD02251,2024-03-23,71
KH00086,Ngo Van Long,Ða Nang,OD07808,2024-07-14,78
KH00096,Ðang Thi Hanh,Ho Chi Minh,OD03536,2024-09-18,73
KH00183,Ðang Thi Hanh,Ha Noi,OD07738,2024-01-25,42
KH00805,Bui Thi Lan,Can Tho,OD01016,2024-07-09,57
KH00623,Ðang Thi Hanh,Ha Noi,OD01924,2024-01-21,29
KH00637,Huynh Thi Thu Ha,Ha Noi,OD04696,2024-01-25,38
KH00437,Ly Thi Kim Chi,Can Tho,OD07946,2024-10-29,4
KH00501,Vu Minh Quan,Ha Noi,OD02398,2024-05-18,86
KH00394,Le Minh Hoang,Ða Nang,OD02410,2024-02-21,38
KH00605,Bui Thi Lan,Can Tho,OD07059,2024-07-14,62
KH00845,Ðo Hoang Anh,Can Tho,OD04643,2024-10-25,18
KH00704,Ly Thi Kim Chi,Ha Noi,OD07605,2024-02-23,80
KH00392,Tran Thi Bich Ngoc,Ha Noi,OD02931,2024-05-15,49
KH00400,Bui Thi Lan,Hai Phong,OD01003,2024-04-25,28
KH00363,Huynh Thi Thu Ha,Hai Phong,OD01425,2024-01-19,89
KH00416,Vu Minh Quan,Ha Noi,OD04796,2024-02-01,28
KH00230,Ðo Hoang Anh,Can Tho,OD02051,2024-05-29,21
KH00594,Le Minh Hoang,Hai Phong,OD03564,2024-09-07,92
KH00225,Huynh Thi Thu Ha,Ha Noi,OD05500,2024-05-05,65
KH00909,Nguyen Van An,Ho Chi Minh,OD04158,2024-07-17,1
KH00678,Vu Minh Quan,Ho Chi Minh,OD07238,2024-06-14,51
KH00773,Ðang Thi Hanh,Ho Chi Minh,OD01235,2024-01-14,69
KH00286,Ðang Thi Hanh,Ho Chi Minh,OD00939,2024-02-11,31
KH00421,Phan Thi Mai,Ða Nang,OD07203,2024-10-13,44
KH00256,Huynh Thi Thu Ha,Ho Chi Minh,OD06613,2024-01-28,57
KH00236,Vu Minh Quan,Hai Phong,OD07107,2024-06-10,36
KH00257,Le Minh Hoang,Hai Phong,OD06279,2024-04-10,14
KH00952,Ðo Hoang Anh,Ho Chi Minh,OD02524,2024-09-08,80
KH00752,Ly Thi Kim Chi,Ha Noi,OD02469,2024-08-31,23
KH00011,Nguyen Van An,Ða Nang,OD03822,2024-08-29,63
KH00331,Bui Thi Lan,Hai Phong,OD05390,2024-10-26,53
KH00473,Ly Thi Kim Chi,Ða Nang,OD04473,2023-12-27,38
KH00584,Ðo Hoang Anh,Ða Nang,OD07245,2024-06-22,20
KH00873,Phan Thi Mai,Hai Phong,OD06271,2024-01-15,86
KH00074,Bui Thi Lan,Ho Chi Minh,OD04442,2024-11-23,4
KH00657,Nguyen Van An,Ha Noi,OD04894,2024-06-20,45
KH00925,Huynh Thi Thu Ha,Ða Nang,OD07649,2024-06-09,91
KH00964,Huynh Thi Thu Ha,Ha Noi,OD01047,2024-06-28,62
KH00223,Pham Thi Thanh Huong,Ha Noi,OD07186,2024-11-02,77
KH00406,Vu Minh Quan,Ða Nang,OD05029,2024-10-31,18
KH00965,Ly Thi Kim Chi,Can Tho,OD06383,2024-09-21,77
KH00922,Huynh Thi Thu Ha,Ho Chi Minh,OD02450,2024-05-02,83
KH00899,Phan Thi Mai,Ha Noi,OD05843,2024-03-06,26
KH00644,Nguyen Van An,Ho Chi Minh,OD04827,2024-07-03,30
KH00492,Phan Thi Mai,Hai Phong,OD04360,2024-04-25,27
KH00387,Ngo Van Long,Ha Noi,OD06782,2024-03-18,5
KH00253,Ðo Hoang Anh,Can Tho,OD02031,2024-05-14,36
KH00690,Hoang Van Tien,Can Tho,OD04861,2024-07-06,57
KH00352,Pham Thi Thanh Huong,Ða Nang,OD05763,2024-07-27,2
KH00757,Ðo Hoang Anh,Ha Noi,OD07957,2024-07-16,92
KH00978,Tran Thi Bich Ngoc,Ho Chi Minh,OD07665,2024-11-24,57
KH00881,Ngo Van Long,Ho Chi Minh,OD00257,2024-12-04,69
KH00474,Vu Minh Quan,Can Tho,OD01895,2024-05-21,36
KH00701,Ðo Hoang Anh,Hai Phong,OD07874,2024-09-18,88
KH00676,Ðang Thi Hanh,Ho Chi Minh,OD07781,2024-02-10,68
KH00178,Ngo Van Long,Ha Noi,OD05695,2024-08-11,72
KH00348,Ly Thi Kim Chi,Ða Nang,OD05085,2024-08-05,80
KH00966,Bui Thi Lan,Ha Noi,OD05830,2023-12-30,53
KH00418,Phan Thi Mai,Hai Phong,OD01176,2024-03-25,7
KH00271,Tran Thi Bich Ngoc,Ha Noi,OD04991,2024-09-21,45
KH00190,Le Minh Hoang,Ho Chi Minh,OD06459,2024-01-14,81
KH00384,Huynh Thi Thu Ha,Hai Phong,OD02676,2024-11-06,46
KH00091,Phan Thi Mai,Hai Phong,OD05467,2024-04-10,56
KH00716,Ly Thi Kim Chi,Hai Phong,OD02982,2024-08-19,1
KH00656,Ðo Hoang Anh,Ho Chi Minh,OD01950,2024-10-22,52
KH00949,Ngo Van Long,Hai Phong,OD05687,2024-05-03,24
KH00039,Bui Thi Lan,Ða Nang,OD02570,2024-06-16,47
KH00536,Ðang Thi Hanh,Can Tho,OD07660,2024-02-18,28
KH00735,Ly Thi Kim Chi,Ha Noi,OD06755,2024-10-06,32
KH00933,Le Minh Hoang,Ho Chi Minh,OD03096,2024-03-16,89
KH00910,Tran Thi Bich Ngoc,Ha Noi,OD04993,2024-11-09,89
KH00080,Ngo Van Long,Hai Phong,OD00828,2024-04-07,80
KH00357,Pham Thi Thanh Huong,Hai Phong,OD05736,2024-01-03,97
KH00730,Ngo Van Long,Ha Noi,OD07243,2024-02-18,99
KH00087,Vu Minh Quan,Ða Nang,OD01978,2024-05-28,3
KH00861,Huynh Thi Thu Ha,Can Tho,OD04397,2024-09-15,21
KH00247,Ðo Hoang Anh,Ða Nang,OD02368,2024-09-10,46
KH00997,Vu Minh Quan,Hai Phong,OD02155,2023-12-29,61
KH00085,Vu Minh Quan,Ha Noi,OD05022,2024-04-16,50
KH00475,Vu Minh Quan,Hai Phong,OD02117,2024-02-24,87
KH00911,Ngo Van Long,Ha Noi,OD05917,2024-04-30,54
KH00758,Le Minh Hoang,Ho Chi Minh,OD04591,2024-08-28,40
KH00203,Tran Thi Bich Ngoc,Ho Chi Minh,OD03153,2024-02-26,86
KH00046,Cao Minh Tam,Ða Nang,OD02705,2024-02-17,19
KH00950,Ðang Thi Hanh,Ho Chi Minh,OD06242,2024-02-08,83
KH00561,Ðo Hoang Anh,Hai Phong,OD02670,2024-07-10,89
KH00995,Ngo Van Long,Ho Chi Minh,OD03968,2024-04-08,17
KH00535,Vu Minh Quan,Ða Nang,OD06012,2024-04-18,21
KH00287,Le Minh Hoang,Can Tho,OD02907,2024-10-23,65
KH00846,Le Minh Hoang,Can Tho,OD06760,2024-12-04,64
KH00750,Huynh Thi Thu Ha,Ho Chi Minh,OD00643,2024-01-09,14
KH00928,Phan Thi Mai,Ho Chi Minh,OD07911,2024-01-13,4
KH00010,Ðang Thi Hanh,Ða Nang,OD04320,2024-09-13,57
KH00755,Ðo Hoang Anh,Can Tho,OD00592,2024-04-06,5
KH00176,Ðang Thi Hanh,Ða Nang,OD06859,2024-12-17,22
KH00854,Nguyen Van An,Ha Noi,OD02255,2024-05-10,86
KH00552,Cao Minh Tam,Hai Phong,OD06841,2024-10-05,9
KH00551,Pham Thi Thanh Huong,Can Tho,OD03160,2024-12-09,87
KH00187,Le Minh Hoang,Hai Phong,OD05975,2024-09-03,61
KH00366,Cao Minh Tam,Can Tho,OD05480,2024-10-23,61
KH00971,Tran Thi Bich Ngoc,Ho Chi Minh,OD07380,2024-09-07,14
KH00663,Ngo Van Long,Ho Chi Minh,OD07233,2024-06-23,12
KH00667,Ly Thi Kim Chi,Ha Noi,OD01717,2024-07-12,34
KH00062,Vu Minh Quan,Ho Chi Minh,OD01385,2024-06-04,97
KH00479,Hoang Van Tien,Hai Phong,OD06544,2024-12-13,56
KH00903,Bui Thi Lan,Ho Chi Minh,OD03070,2024-04-14,38
KH00919,Bui Thi Lan,Ða Nang,OD02222,2024-02-07,45
KH00304,Le Minh Hoang,Ha Noi,OD01355,2024-06-27,60
KH00510,Hoang Van Tien,Ho Chi Minh,OD03003,2024-06-07,69
KH00290,Tran Thi Bich Ngoc,Can Tho,OD03324,2024-10-28,86
KH00923,Ngo Van Long,Ha Noi,OD02520,2024-06-01,24
KH00712,Huynh Thi Thu Ha,Can Tho,OD06725,2024-05-03,78
KH00166,Tran Thi Bich Ngoc,Ho Chi Minh,OD04806,2024-04-06,93
KH00968,Nguyen Van An,Can Tho,OD05345,2024-11-13,18
KH00523,Tran Thi Bich Ngoc,Ha Noi,OD04743,2024-07-09,2
KH00294,Le Minh Hoang,Can Tho,OD07496,2024-01-11,19
KH00932,Phan Thi Mai,Ho Chi Minh,OD04022,2024-01-31,57
KH00292,Huynh Thi Thu Ha,Can Tho,OD00576,2024-07-09,80
KH00989,Nguyen Van An,Ha Noi,OD06407,2023-12-29,54
KH00556,Phan Thi Mai,Ha Noi,OD07841,2024-12-11,5
KH00979,Ðang Thi Hanh,Ha Noi,OD00875,2024-05-30,42
KH00699,Vu Minh Quan,Can Tho,OD05617,2024-10-14,23
KH00955,Phan Thi Mai,Hai Phong,OD05574,2024-08-06,58
KH00841,Bui Thi Lan,Hai Phong,OD02173,2024-02-18,87
KH00625,Tran Thi Bich Ngoc,Hai Phong,OD05702,2024-04-10,62
KH00319,Ðang Thi Hanh,Ho Chi Minh,OD03128,2024-11-04,88
KH00464,Pham Thi Thanh Huong,Ða Nang,OD00469,2024-03-25,98
KH00591,Ly Thi Kim Chi,Hai Phong,OD06145,2024-08-10,16
KH00775,Pham Thi Thanh Huong,Ða Nang,OD04479,2024-12-19,20
KH00169,Phan Thi Mai,Can Tho,OD04967,2024-03-23,79
